date,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
196805,2.28,7.1,0.66,0.31,-1.92,0.45,3.8
196806,0.69,-0.36,0.83,-1.31,2.76,0.43,-1.9
196807,-2.72,-1.42,5.39,-3.14,3.64,0.48,-0.88
196808,1.34,2.26,1,-0.7,0.45,0.42,1.89
196809,4.03,2.84,0.3,-1.99,0.88,0.43,-0.65
196810,0.42,-0.38,2.86,-1.32,2.53,0.44,-1.46
196811,5.43,2.41,-0.93,0.43,-2.26,0.42,1.75
196812,-3.94,3.56,-0.01,-1.86,1.7,0.43,-0.01
196901,-1.25,-0.45,1.68,-1.55,1.37,0.53,-0.17
196902,-5.84,-4.17,0.9,2.07,0.78,0.46,-2.36
196903,2.64,-0.42,-0.52,-1.42,-0.46,0.46,3.97
196904,1.46,-0.83,-0.03,0.41,0.23,0.53,1.13
196905,-0.1,-0.11,0.72,-0.95,1.25,0.48,1.7
196906,-7.18,-5.5,-1.09,4.32,-1.53,0.51,-2.3
196907,-7,-3.39,1.18,1.45,1.93,0.53,1.7
196908,4.68,0.66,-3.77,1.17,-4.04,0.5,2.17
196909,-2.98,1.24,-3.19,3.45,-0.77,0.62,2.52
196910,5.06,3.91,-3.1,0.12,-2.14,0.6,-4.31
196911,-3.79,-2.45,-1.21,1.45,0.28,0.52,3.66
196912,-2.63,-3.77,-2.84,2.54,-1.78,0.64,4.96
197001,-8.1,3.13,3.12,-1.71,3.85,0.6,0.6
197002,5.13,-2.74,3.93,-2.32,2.74,0.62,0.23
197003,-1.06,-2.4,3.99,-1.01,4.32,0.57,-0.36
197004,-11,-6.37,6.17,-0.69,6.26,0.5,-0.77
197005,-6.92,-4.45,3.32,-1.25,3.92,0.53,-2.78
197006,-5.79,-2.21,0.6,0.13,2.97,0.58,5.7
197007,6.93,-0.62,0.91,-0.25,1.81,0.52,-3.14
197008,4.49,1.53,1.27,0.56,-0.19,0.53,-6.55
197009,4.18,8.5,-5.52,0.3,-5.84,0.54,-8.8
197010,-2.28,-4.43,0.21,1.71,2.32,0.46,9.42
197011,4.6,-3.86,1.7,1.56,1.48,0.46,2.73
197012,5.72,2.93,0.99,0.24,0.29,0.42,-2.23
197101,4.84,7.54,1.48,-1.99,0.06,0.38,-6.51
197102,1.41,2.04,-1.27,0.58,-0.69,0.33,0.79
197103,4.13,2.26,-4.03,1.83,-2.7,0.3,-1.41
197104,3.15,-0.35,0.81,-1.46,0.89,0.28,1.41
197105,-3.98,-1.11,-1.41,1.39,0.24,0.29,0.86
197106,-0.1,-1.49,-1.94,1.55,-1.65,0.37,2.73
197107,-4.5,-1.42,-0.01,0.57,1.49,0.4,-2.37
197108,3.79,-0.15,2.64,-0.45,2.63,0.47,3.61
197109,-0.85,0.28,-2.91,2.55,-1.59,0.37,2.12
197110,-4.42,-1.59,-0.48,1.58,-1.38,0.37,0.47
197111,-0.46,-2.87,-1.7,2.41,-0.33,0.37,1.51
197112,8.71,3.25,-0.41,-0.39,-1.73,0.37,-0.58
197201,2.49,6.12,2.27,-1.68,0.52,0.29,0.17
197202,2.87,0.89,-2.77,1.63,-0.53,0.25,2.54
197203,0.63,-0.47,-1.63,1.61,-0.15,0.27,2.94
197204,0.29,0.2,0.1,-0.45,-1,0.29,2.81
197205,1.25,-3.12,-2.72,2.38,-1.92,0.3,3.29
197206,-2.43,-0.47,-2.49,1.81,-0.34,0.29,1.9
197207,-0.8,-2.77,0.66,1.14,-0.65,0.31,2.7
197208,3.26,-3.48,4.53,-1.95,2.88,0.29,-5.4
197209,-1.14,-2.22,0.47,1.72,-1.97,0.34,1.82
197210,0.52,-2.54,1.35,-0.15,-0.02,0.4,0.71
197211,4.6,-0.63,4.83,-1.98,3.34,0.37,-5.09
197212,0.62,-1.9,-2.19,2.58,-2.15,0.37,4.92
197301,-3.29,-2.82,2.68,0.38,0.9,0.44,3.73
197302,-4.85,-3.9,1.6,-0.25,0.02,0.41,2.16
197303,-1.3,-2.33,2.62,-1.04,0.64,0.46,3.59
197304,-5.68,-2.95,5.42,-1.65,2.73,0.52,6.36
197305,-2.94,-6.18,0.41,1.94,-1.51,0.51,7.14
197306,-1.57,-2.51,1.19,-0.27,0.21,0.51,4.3
197307,5.05,7.26,-5.26,-0.05,-3.27,0.64,-11.57
197308,-3.82,-1.79,1.06,-1.28,1.29,0.7,3.46
197309,4.75,3.57,2.24,-2.3,1.75,0.68,-7
197310,-0.83,-0.3,1.6,-1.83,2.68,0.65,6.87
197311,-12.75,-7.27,3.99,-2.58,1.69,0.56,8.66
197312,0.61,-4.66,3.94,-2.69,2.41,0.64,10.38
197401,-0.17,10.39,6,-3.18,4.48,0.63,-8.85
197402,-0.47,0.12,2.5,-1.87,2.62,0.58,0.32
197403,-2.81,2.61,-0.12,2.79,0.45,0.56,-1.05
197404,-5.29,-0.69,0.87,2.88,2.08,0.75,2.11
197405,-4.68,-3.08,-2.07,4.93,-0.4,0.75,-0.39
197406,-2.83,0.02,0.79,0.62,2.9,0.6,2.31
197407,-8.05,1.92,5.17,-3.26,4.6,0.7,3.09
197408,-9.35,0.26,2.64,-0.28,2.6,0.6,3
197409,-11.77,1.48,5.59,-4.43,5.92,0.81,4.24
197410,16.1,-6.82,-9.88,-0.22,-2.87,0.51,-0.54
197411,-4.51,-1.48,-0.2,-3.35,2.94,0.54,2.14
197412,-3.45,-4.35,0.11,-0.69,3.26,0.7,2.92
197501,13.66,12.92,8.27,-0.76,-0.92,0.58,-13.82
197502,5.56,-0.65,-4.44,1.15,-2.12,0.43,-0.6
197503,2.66,3.99,2.39,1.23,-1.31,0.41,-2.04
197504,4.23,-0.72,-1.13,1.42,-1.35,0.44,1.38
197505,5.19,2.89,-4.1,-0.99,-0.61,0.44,-0.58
197506,4.83,1.42,1.4,-2.66,1.1,0.41,0.02
197507,-6.59,3.44,1.69,0.46,1.23,0.48,0.45
197508,-2.85,-2.84,-0.94,1.12,-0.93,0.48,-0.1
197509,-4.26,0.05,0.43,0.53,0.55,0.53,0.41
197510,5.31,-4.22,0.27,-0.48,2.2,0.56,-0.16
197511,2.64,-1.1,2.05,-0.68,1.78,0.41,-0.45
197512,-1.6,-0.05,1.69,-0.09,0.58,0.48,-0.11
197601,12.16,6.32,8.57,-1.79,2.27,0.47,4.45
197602,0.32,7.98,5.82,-2.6,3.83,0.34,0.38
197603,2.32,-1.39,-0.11,-0.33,0.94,0.4,0.15
197604,-1.49,0.08,-0.14,0.4,-1.08,0.42,0.59
197605,-1.34,-1.1,-1.35,2.45,-1.4,0.37,-1.12
197606,4.05,-1.07,0.69,-0.67,1.01,0.43,-0.42
197607,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.13
197608,-0.56,-1.98,0.81,-0.41,-0.55,0.42,-0.85
197609,2.07,0.1,-0.29,0.98,-1.15,0.44,0.22
197610,-2.42,0.13,-0.18,-0.19,-0.37,0.41,-0.44
197611,0.36,2.66,1.51,-1.41,0.09,0.4,2.89
197612,5.65,3.64,2.27,-0.62,2.28,0.4,0.73
197701,-4.05,5.9,4.27,-0.51,1.97,0.36,4.01
197702,-1.94,1.07,0.47,-0.16,-0.22,0.35,0.36
197703,-1.37,1.31,1.09,-0.3,-0.06,0.38,0.55
197704,0.15,0.61,3.38,-2.02,1.14,0.38,4.21
197705,-1.45,1.31,0.85,0.33,0.19,0.37,2.03
197706,4.71,2.08,-0.74,0.91,-1.2,0.4,1.66
197707,-1.69,1.88,-0.57,0.74,0.09,0.42,0.36
197708,-1.75,0.86,-2.73,0.99,-0.69,0.44,-1.7
197709,-0.27,1.43,-0.46,1.45,-0.84,0.43,2
197710,-4.38,1.48,1.81,-0.19,-0.29,0.49,-0.08
197711,4,3.64,0.23,-0.13,0.71,0.5,2.01
197712,0.27,1.59,-0.3,0.91,-0.69,0.49,1.58
197801,-6.01,2.72,3.36,-1.7,1.52,0.49,-0.66
197802,-1.38,3.7,0.83,0.33,1.04,0.46,1.97
197803,2.85,3.71,1.16,-0.59,1.88,0.53,1.37
197804,7.88,-0.27,-3.57,2.83,-1.29,0.54,0.86
197805,1.76,4.58,-0.53,0.24,0.37,0.51,2.83
197806,-1.69,1.56,0.57,-1.41,-0.03,0.54,2.75
197807,5.11,0.13,-1.11,1.55,-0.79,0.56,4.18
197808,3.75,4.95,-0.57,1.41,0.44,0.56,2.83
197809,-1.43,-0.31,1.86,-0.65,1.8,0.62,-3.14
197810,-11.91,-10.07,1.39,0.18,0.99,0.68,-8.46
197811,2.71,2.85,-2.14,1.11,-1.19,0.7,5.47
197812,0.88,1.12,-2.13,1.95,-1.38,0.78,3.03
197901,4.23,3.79,2.2,-2.49,1.51,0.77,-1.36
197902,-3.56,0.54,1.14,-1.11,0.96,0.73,-1.06
197903,5.68,3.2,-0.73,0.51,0.28,0.81,2.93
197904,-0.06,2.4,1.08,1.11,0.21,0.8,0.81
197905,-2.21,0.17,1.32,-1.55,-0.27,0.82,-0.54
197906,3.85,0.99,1.39,-1.59,-0.47,0.81,0.84
197907,0.82,1.27,1.86,-0.28,0.71,0.77,-1.07
197908,5.53,1.92,-1.58,1.6,-1.47,0.77,-0.21
197909,-0.82,-0.33,-0.9,1,0.32,0.83,5.28
197910,-8.1,-3.51,-1.86,1,0.1,0.87,2.01
197911,5.21,2.53,-3.28,0.02,-2.12,0.99,8.14
197912,1.79,4.32,-2.1,-0.72,-0.9,0.95,4.78
198001,5.51,1.82,1.75,-1.69,1.71,0.8,7.55
198002,-1.22,-1.58,0.61,0.07,2.7,0.89,7.88
198003,-12.9,-6.92,-1.01,1.45,-1.16,1.21,-9.55
198004,3.97,1.05,1.08,-2.06,0.27,1.26,-0.43
198005,5.26,2.1,0.38,0.32,-0.32,0.81,-1.12
198006,3.06,1.42,-0.76,-0.16,-1.28,0.61,1.62
198007,6.49,3.82,-6.41,4.05,-2.38,0.53,0.35
198008,1.8,4.26,-2.61,2.07,-0.87,0.64,3.21
198009,2.19,0.66,-4.58,1.9,-2.77,0.75,5.39
198010,1.06,2.36,-2.79,1.69,-1.18,0.95,7.3
198011,9.59,-3.31,-8.33,4.51,-5.71,0.96,15.22
198012,-4.52,-0.29,2.79,-1.29,1.23,1.31,-6.68
198101,-5.04,3.29,6.72,-3.53,4.35,1.04,-7.95
198102,0.57,-0.51,1.02,0.21,2.27,1.07,-1.35
198103,3.56,3.03,0.64,-2.26,-0.52,1.21,0.74
198104,-2.11,4.59,2.28,0.83,1.22,1.08,-0.91
198105,0.11,2.45,-0.42,0.3,-1.54,1.15,3.7
198106,-2.36,-0.95,5.13,-1.37,2.69,1.35,-5.81
198107,-1.54,-2.05,-0.49,1.26,-2.55,1.24,-2.45
198108,-7.04,-1.81,4.79,-0.31,1.41,1.28,-1.15
198109,-7.17,-2.44,5.17,0.12,2.61,1.24,1.95
198110,4.92,2.36,-4.21,3.14,-3.01,1.21,4.01
198111,3.36,-1.51,1.85,0.07,0.96,1.07,-0.27
198112,-3.65,1.2,0.82,0.22,2.5,0.87,1.3
198201,-3.24,-1.13,3.19,-1.49,1.92,0.8,1.72
198202,-5.86,0.35,6.05,-3.43,4.56,0.92,4.88
198203,-1.87,-0.04,3.83,-1.39,2.49,0.98,2.96
198204,3.27,1.09,-2.7,1.56,-0.02,1.13,-0.4
198205,-3.99,0.64,1.76,0.88,-0.31,1.06,2.5
198206,-3.09,-0.52,1.55,0.01,2.7,0.96,4.96
198207,-3.19,0.95,0.09,1.04,1.54,1.05,4.44
198208,11.14,-4.33,0.93,-1.89,0.11,0.76,-3.52
198209,1.29,2.62,0.27,2.14,-0.04,0.51,4.19
198210,11.3,1.94,-3.67,0.29,-0.34,0.59,0.18
198211,4.67,4.42,-1.85,-0.97,0.29,0.63,5.94
198212,0.55,-0.07,0.01,-0.01,1.05,0.67,0.04
198301,3.6,3.33,-0.71,-1.55,-0.55,0.69,-1.74
198302,2.59,2.93,0.7,-0.52,1.05,0.62,3.78
198303,2.82,1.38,2.01,-0.17,2.74,0.63,0.93
198304,6.67,0.47,0.51,-0.11,1.47,0.71,1.72
198305,0.52,6.33,-1.42,-1.84,-1.54,0.69,-1.56
198306,3.07,1.19,-3.91,2.6,-0.87,0.67,1.8
198307,-4.07,1.01,5.62,-0.11,2.81,0.74,-3.11
198308,-0.5,-4.32,5.54,0.53,1.9,0.76,-5.43
198309,0.91,0.31,1.01,1.25,0.5,0.76,-0.03
198310,-3.44,-3.78,4.97,-0.79,2.96,0.76,-4.52
198311,2.16,1.89,-0.73,-0.75,0.66,0.7,-0.13
198312,-1.78,-0.45,1.7,1.6,1.27,0.73,0.84
198401,-1.92,-0.03,7.57,-0.82,2.92,0.76,-2.56
198402,-4.82,-1.6,3.34,0.91,1.58,0.71,0.22
198403,0.63,-0.29,0.47,-0.85,1.17,0.73,1.07
198404,-0.51,-0.96,1.19,3.38,0.76,0.81,2.07
198405,-5.97,0.14,0.29,2.2,-0.46,0.78,1.51
198406,1.82,0.1,-2.66,3.13,-1.56,0.75,-0.7
198407,-2.74,-2.22,0.33,3.55,-2.15,0.82,2.83
198408,10.28,-0.26,-1.8,-0.68,-0.92,0.83,-5.59
198409,-0.8,-0.03,5.23,1.37,2.41,0.86,3.62
198410,-0.84,-1.44,0.47,1.18,-1.09,1,3.16
198411,-1.76,-1.01,4.04,0.72,2.06,0.73,1.64
198412,1.84,-0.65,-0.25,1.31,-1.36,0.64,1.49
198501,7.99,3.5,-5.33,-0.89,-3.41,0.65,-6.82
198502,1.22,1.04,-0.1,1.29,1.06,0.58,1.88
198503,-0.84,-1.39,4.07,1.23,2.88,0.62,1.58
198504,-0.96,-0.1,3.72,1.55,0.71,0.72,3.04
198505,5.09,-2.31,-0.94,1.33,-1.49,0.66,3.99
198506,1.27,0.35,0.41,1.76,-0.77,0.55,3.57
198507,-0.74,2.87,-1.6,-0.44,-0.38,0.62,-3.91
198508,-1.02,-0.29,2.28,-0.07,1.84,0.55,1.85
198509,-4.54,-1.8,1.29,1.09,1.62,0.6,1.51
198510,4.02,-1.49,0.75,0.91,-1.08,0.65,4.88
198511,6.48,0.02,-2.84,0.32,-2.29,0.61,-0.47
198512,3.88,-0.4,-1.54,1.01,-1.82,0.65,-0.23
198601,0.65,1,0.44,-2,-2,0.56,3
198602,7.13,-0.71,-0.77,1.09,-1.24,0.53,2.76
198603,4.88,-0.65,-0.37,1.18,0.9,0.6,2.41
198604,-1.31,2.86,-2.86,2.89,-0.06,0.52,-0.36
198605,4.62,-1.29,-0.21,2.15,1.08,0.49,2.05
198606,1.03,-0.88,1.3,1.83,0.82,0.52,5.07
198607,-6.45,-3.45,4.7,-0.45,0.84,0.52,1.85
198608,6.07,-4.35,3.51,-1.63,3.19,0.46,-5.28
198609,-8.6,2.05,3.22,-0.1,3.72,0.45,-5.79
198610,4.66,-2.33,-1.42,-0.05,1,0.46,4.46
198611,1.17,-1.89,-0.07,1.03,0.66,0.39,-0.26
198612,-3.27,0.12,0.36,0.81,0.09,0.49,0.35
198701,12.47,-1.54,-3.16,0.16,-0.98,0.42,2.2
198702,4.39,3.4,-5.91,-0.84,-2.63,0.43,-2.07
198703,1.64,0.27,1.61,1.35,4.12,0.47,1.68
198704,-2.11,-1.54,-0.39,-0.5,1.03,0.44,0.22
198705,0.11,-0.56,0.23,0.51,1.15,0.38,-0.74
198706,3.94,-2.21,1.04,1.69,0.84,0.48,-0.25
198707,3.85,-1.12,0.73,-0.61,1.64,0.46,2.66
198708,3.52,-0.95,-0.95,2.04,-1.61,0.47,-0.86
198709,-2.59,0.4,0.3,-0.97,1.9,0.45,0.77
198710,-23.24,-8.05,4.23,2.06,2.26,0.6,-7.86
198711,-7.77,2.87,2.96,-1.88,0.68,0.35,-1.17
198712,6.81,0.06,-4.39,2.95,-2.46,0.39,5.87
198801,4.21,-0.53,4.95,-1.13,2.2,0.29,-7.27
198802,4.75,3.31,-1.69,1.55,0,0.46,-1.47
198803,-2.27,6.24,0.74,-0.26,1.82,0.44,0.58
198804,0.56,1.15,1.63,-0.2,1.94,0.46,2.24
198805,-0.29,-2.57,2.42,-0.74,0.33,0.51,0.63
198806,4.79,2.14,-1.22,1.46,-3.44,0.49,-2.93
198807,-1.25,-0.21,2.17,-0.58,1.49,0.51,0.65
198808,-3.31,-0.03,2.1,-0.81,1.76,0.59,0.35
198809,3.3,-1.35,-0.75,1.75,-0.6,0.62,0.27
198810,1.15,-2.95,1.69,1.29,1.03,0.61,1.33
198811,-2.29,-1.65,1.3,-0.28,1.63,0.57,0.33
198812,1.49,2.02,-1.61,0.69,-0.38,0.63,0.49
198901,6.1,-2.31,0.62,-0.95,0.14,0.55,-0.16
198902,-2.25,2.71,0.93,-0.87,1.81,0.61,0.99
198903,1.57,0.68,0.54,0.05,0.73,0.67,3.51
198904,4.33,-0.78,-1.4,0.71,-0.57,0.67,1.77
198905,3.35,0,-0.87,0.49,-0.08,0.79,1.52
198906,-1.35,-1.09,2.23,0.27,1.55,0.71,0.43
198907,7.2,-4.17,-2.79,1.95,-0.56,0.7,5.39
198908,1.44,0.48,0.6,0.39,-0.57,0.74,-0.12
198909,-0.76,0.49,-1.27,1.4,0.51,0.65,3.4
198910,-3.67,-3.32,-1.11,0.1,-0.03,0.68,1.32
198911,1.03,-1.29,-1.09,-0.86,1.37,0.69,2.6
198912,1.16,-2.28,0.16,-0.07,1.45,0.61,2.8
199001,-7.85,-1.32,0.85,-1.18,1.37,0.57,-3.27
199002,1.11,1.15,0.64,-0.07,-0.61,0.57,-0.54
199003,1.83,1.58,-2.92,2.02,-0.95,0.64,1.8
199004,-3.36,-0.32,-2.59,1.81,-1,0.69,2.39
199005,8.42,-2.37,-3.83,1.54,-1.58,0.68,3.03
199006,-1.09,1.31,-1.93,-1.1,-0.36,0.63,2.4
199007,-1.9,-3.14,-0.04,-0.11,3.23,0.68,6.14
199008,-10.15,-3.86,1.6,-0.35,2.99,0.66,1.88
199009,-6.12,-3.74,0.61,0.06,3.61,0.6,5.78
199010,-1.92,-5.07,0,3.13,-0.32,0.68,6.71
199011,6.35,0.04,-2.97,0.5,-4.69,0.57,-5.48
199012,2.46,0.64,-1.63,2.64,-1.81,0.6,0.29
199101,4.69,3.89,-1.57,1.26,-3.85,0.52,-6.45
199102,7.19,4.01,-0.63,-0.04,-0.43,0.48,-4.61
199103,2.65,3.82,-1.3,-0.5,-1.11,0.44,2.87
199104,-0.28,0.32,1.45,0.64,0.8,0.53,-2.36
199105,3.65,0.12,-0.49,2.05,-2.35,0.47,-0.11
199106,-4.94,0.26,1.07,1.77,0.64,0.42,0.47
199107,4.24,-0.96,-1.32,1.61,-1.36,0.49,4.24
199108,2.32,1.41,-0.78,0.85,-0.34,0.46,1.57
199109,-1.59,1.56,-1.07,-1.8,0.08,0.46,1.79
199110,1.29,0.9,-0.46,-1.73,-0.23,0.42,3.06
199111,-4.19,-0.84,-1.88,1.06,0.01,0.39,1.14
199112,10.84,-2.4,-4.18,3.56,-3.12,0.38,8.19
199201,-0.59,9.19,4.7,-1.29,3.2,0.34,-2.49
199202,1.09,1.34,6.47,0.1,2.19,0.28,-0.53
199203,-2.66,-0.93,3.55,-0.01,1.95,0.34,-0.29
199204,1.07,-5.7,4.32,1.69,2.23,0.32,-2.58
199205,0.3,0.21,1.19,-0.96,0.48,0.28,0.21
199206,-2.34,-2.74,3.25,-0.09,1.01,0.32,-0.58
199207,3.77,-0.66,-0.55,1.24,-0.89,0.31,1.59
199208,-2.38,-0.44,-1.08,3.68,-1.6,0.26,-0.51
199209,1.19,0.44,-0.23,1.58,-0.63,0.26,1.5
199210,1.02,2.09,-1.98,1.26,-0.84,0.23,2.48
199211,4.13,3.98,-1.42,-0.62,-1.65,0.23,-0.15
199212,1.53,1.67,2.65,-0.46,0.83,0.28,4.31
199301,0.93,1.89,5.95,-1.85,2.94,0.23,4.84
199302,0.12,-3.47,6.44,-0.48,4.21,0.22,3.14
199303,2.3,0.08,1.19,-0.17,0.9,0.25,3.73
199304,-3.05,-0.86,2.48,-3.6,1.44,0.24,0.38
199305,2.89,1.93,-3.5,-0.08,-1.05,0.22,0.22
199306,0.31,0.16,2.72,-0.91,1.2,0.25,4.55
199307,-0.34,0.92,2.82,-1.85,2.05,0.24,3.19
199308,3.71,0.11,0.14,-1.54,-0.03,0.25,2.65
199309,-0.12,2.94,-0.35,0.25,-0.16,0.26,3.37
199310,1.41,1.89,-2.78,0.58,0.6,0.22,-2.72
199311,-1.89,-1.18,-0.66,2.19,-0.94,0.25,-4.74
199312,1.65,1.38,0.27,1.17,-0.34,0.23,2.36
199401,2.87,0.08,1.28,-1.75,1.43,0.25,0
199402,-2.55,2.67,-1.56,2.15,-1,0.21,-0.3
199403,-4.78,-1.09,1.55,0.71,1.28,0.27,-1.27
199404,0.68,-1,1.66,1.06,1.11,0.27,0.39
199405,0.58,-2.53,0.7,0.6,0.68,0.31,-2.19
199406,-3.03,-0.48,1.67,1.21,1.47,0.31,-0.87
199407,2.82,-1.79,0.57,-0.6,0.11,0.28,0.1
199408,4.01,1.38,-2.5,0.96,-1.47,0.37,1.55
199409,-2.31,2.76,-1.84,0.53,0.9,0.37,1.31
199410,1.34,-2.31,-1.63,0.24,-0.69,0.38,1.49
199411,-4.04,0.13,-0.73,0.4,-0.39,0.37,-0.18
199412,0.86,-0.04,-0.09,0.39,0.3,0.44,3.48
199501,1.8,-3.02,2.51,0.2,-0.76,0.42,-1.81
199502,3.63,-0.54,1.09,0.56,-0.28,0.4,-0.39
199503,2.19,-0.53,-2.08,-0.13,0.24,0.46,0.43
199504,2.11,-0.22,1.7,0.4,0.89,0.44,1.79
199505,2.9,-2.18,2.27,0.36,0.1,0.54,-0.42
199506,2.72,3.03,-2.54,-0.35,-2.48,0.47,2.93
199507,3.72,2.08,-1.59,0.28,-1.64,0.45,2.57
199508,0.55,1.76,2.81,-1.22,1.61,0.47,0.16
199509,3.35,-1.9,-0.05,1.02,0.38,0.43,2.9
199510,-1.52,-4.07,-0.51,1.86,-0.04,0.47,4.16
199511,3.96,-1.07,0.58,-0.56,1.13,0.42,-0.68
199512,1.03,0.73,0.18,-1.38,3.08,0.49,2.52
199601,2.26,-2.56,0.4,0.19,2.31,0.43,0.54
199602,1.33,1.76,-1.07,0.24,-1.89,0.39,0.59
199603,0.73,1.64,0.36,1.48,-0.96,0.39,-1.84
199604,2.06,4.7,-4.05,-0.16,-2.11,0.46,-0.88
199605,2.36,3.22,-0.89,0.16,-0.3,0.42,1.54
199606,-1.14,-3.64,2.38,3.48,1.2,0.4,0.98
199607,-5.97,-3.8,5.14,2.97,2.56,0.45,-0.17
199608,2.77,2.58,-0.74,-0.41,-2.4,0.41,0.01
199609,5.01,-1.39,-2.7,1.23,-2.22,0.44,2.7
199610,0.86,-3.76,4.94,1.38,3.26,0.42,3.79
199611,6.25,-3.82,1.39,2.1,-0.78,0.41,-2.37
199612,-1.7,3.26,1.32,0.38,1.47,0.46,0.63
199701,4.99,-1.83,-1.46,1.22,-0.13,0.45,1.96
199702,-0.49,-2.56,5.69,0.65,3.48,0.39,-2.13
199703,-5.03,-0.42,3.4,0.45,1.7,0.43,0.9
199704,4.04,-5.71,0.07,3.24,-0.71,0.43,4.84
199705,6.74,4.75,-4.12,-1.02,-2.95,0.49,-5.17
199706,4.1,1.21,1.59,0.56,0.63,0.37,2.6
199707,7.33,-2.77,0.29,0.07,-2.55,0.43,3.79
199708,-4.15,7.63,1.2,-1.09,0.09,0.41,-2.56
199709,5.35,2.49,0.38,-1.62,-0.85,0.44,1.47
199710,-3.8,-0.55,2.25,1.04,1.88,0.42,-0.57
199711,2.98,-5.1,1.19,2.81,1.67,0.39,0.33
199712,1.32,-2.02,3.86,0.8,1.99,0.48,3.98
199801,0.15,-1.36,-1.59,0.87,-0.84,0.43,0.14
199802,7.04,0.2,-0.85,-0.34,-2.32,0.39,-1.12
199803,4.76,-0.63,1.41,-0.29,-0.41,0.39,2.15
